transcript,control_minus_DMS_fp_10_coverage
PB2015.13215.5,144.86829559
PB2015.771.5,144.680033094
PB2015.4709.1,144.487591241
PB2015.2599.6,144.440046566
PB2015.15318.2,144.383673069
PB2015.5329.1,144.220228833
PB2015.3534.1,144.207058824
PB2015.12395.7,144.202655427
PB2015.2525.1,144.16754717
PB2015.9211.2,144.073889491
PB2015.854.1,144.060137931
PB2015.14221.13,144.019242222
PB2015.10960.6,143.885046729
PB2015.12966.3,143.826791695
PB2015.15392.12,143.666844585
PB2015.12097.1,143.622750776
PB2015.4581.1,143.460667658
PB2015.15752.7,143.343939711
PB2015.254.1,143.343864842
PB2015.13697.1,143.081225296
PB2015.10083.4,143.034244487
PB2015.4754.1,142.98540146
PB2015.8885.1,142.832008368
PB2015.15410.1,142.7
PB2015.1933.5,142.533333333
PB2015.16776.21,142.496329995
PB2015.2337.3,142.455305113
PB2015.1355.2,142.273485868
PB2015.6674.2,142.242442031
PB2015.1442.1,142.209704641
PB2015.10510.3,142.0453125
PB2015.13309.7,142.035636992
PB2015.10160.2,141.947279125
PB2015.16103.4,141.913274707
PB2015.14221.1,141.769383329
PB2015.16847.1,141.759032972
PB2015.4583.6,141.683893945
PB2015.12998.4,141.563452915
PB2015.4225.2,141.554285714
PB2015.10315.3,141.534073408
PB2015.2166.2,141.371875
PB2015.11341.1,141.359428767
PB2015.14567.7,141.333333333
PB2015.11025.1,141.273790541
PB2015.9757.1,141.266211604
PB2015.4447.5,141.259116366
PB2015.11556.10,141.14668226
PB2015.13182.4,141.033790119
PB2015.14327.2,140.932397389
PB2015.12395.6,140.88131047
PB2015.15207.1,140.824150485
PB2015.8702.1,140.715423169
PB2015.5230.8,140.479166667
PB2015.68.1,140.462394504
PB2015.3192.1,140.398278336
PB2015.1651.1,140.243562232
PB2015.12655.1,140.125956232
PB2015.3528.4,140.1221279
PB2015.11605.4,140.052141527
PB2015.10160.1,139.934193082
PB2015.11599.2,139.918712955
PB2015.15318.3,139.88052
PB2015.3676.9,139.797777778
PB2015.7299.22,139.696678703
PB2015.16562.4,139.65
PB2015.330.1,139.643931528
PB2015.15651.14,139.620731825
PB2015.586.1,139.557550683
PB2015.2337.1,139.550376216
PB2015.7121.9,139.315881672
PB2015.15240.3,139.276809211
PB2015.3009.1,139.245571332
PB2015.6549.1,139.168181818
PB2015.1986.1,139.137052877
PB2015.11705.9,139.13582178
PB2015.6250.2,139.130172682
PB2015.10489.22,139.110026286
PB2015.10594.2,139.024390244
PB2015.6479.5,139.021354442
PB2015.7794.7,138.90056793
PB2015.12654.1,138.87744898
PB2015.12183.7,138.824785761
PB2015.1051.1,138.773399015
PB2015.16046.4,138.76159601
PB2015.2350.10,138.665643316
PB2015.7345.1,138.561225253
PB2015.11674.4,138.339986385
PB2015.6005.1,138.318039366
PB2015.15301.2,138.231939163
PB2015.1335.1,138.138949072
PB2015.9611.1,138.093728804
PB2015.254.3,138.035257813
PB2015.1051.11,138.022630273
PB2015.1051.13,137.938438617
PB2015.12201.4,137.881780017
PB2015.12395.2,137.854700855
PB2015.7139.9,137.841404471
PB2015.12691.2,137.838114378
PB2015.5623.4,137.706422018
PB2015.7692.4,137.626376689
PB2015.3117.3,137.610750901
PB2015.9072.2,137.543785477
PB2015.5445.2,137.53255814
PB2015.15240.1,137.521991701
PB2015.5210.2,137.502998411
PB2015.4087.1,137.444838754
PB2015.14485.1,137.442153887
PB2015.6427.5,137.200801525
PB2015.15125.1,137.182414698
PB2015.3528.1,136.935795779
PB2015.4352.1,136.904679935
PB2015.6869.5,136.897529437
PB2015.15149.1,136.881818182
PB2015.6674.6,136.380722252
PB2015.12563.3,136.297448662
PB2015.15752.8,136.151355223
PB2015.14641.5,136.111086919
