transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.12254.6,128.124092369
PB2015.14226.3,128.122252399
PB2015.1051.1,128.121720623
PB2015.1051.13,128.046552436
PB2015.7299.11,128.022750931
PB2015.12766.5,128.005628038
PB2015.9323.1,128.0
PB2015.16046.1,127.983413462
PB2015.10493.7,127.926206897
PB2015.16776.17,127.826227855
PB2015.7299.8,127.575346603
PB2015.16720.1,127.518167457
PB2015.9414.2,127.507654921
PB2015.11077.5,127.487121935
PB2015.4581.1,127.475938804
PB2015.9262.3,127.300546448
PB2015.11516.5,127.193692022
PB2015.1360.1,127.140339943
PB2015.7139.9,127.115050058
PB2015.15461.2,127.105263158
PB2015.10160.2,127.03500885
PB2015.11605.3,126.983546184
PB2015.15410.7,126.9
PB2015.3023.1,126.854616358
PB2015.12691.2,126.78653016
PB2015.9280.1,126.702973845
PB2015.15410.2,126.7
PB2015.11801.1,126.680260047
PB2015.9477.4,126.608047572
PB2015.1198.1,126.567327799
PB2015.1335.4,126.566481394
PB2015.15752.12,126.343606212
PB2015.3989.3,126.288349515
PB2015.13870.1,126.240178571
PB2015.3625.19,126.225125085
PB2015.12404.5,126.217152758
PB2015.3365.1,126.175103967
PB2015.68.1,126.159286446
PB2015.10594.4,126.158928571
PB2015.8960.3,126.095421181
PB2015.10160.1,126.04833713
PB2015.3354.2,126.047473626
PB2015.14393.1,125.964267801
PB2015.16185.2,125.911355486
PB2015.14226.2,125.725244957
PB2015.919.3,125.539949915
PB2015.8088.6,125.537951451
PB2015.8912.11,125.390551181
PB2015.1733.3,125.384695076
PB2015.11573.3,125.381760758
PB2015.13676.5,125.314099957
PB2015.14427.4,125.185126512
PB2015.10575.2,125.063380282
PB2015.4870.3,124.960760118
PB2015.9760.10,124.958652252
PB2015.14264.1,124.845267857
PB2015.12183.9,124.827866473
PB2015.11412.4,124.745948586
PB2015.9267.7,124.742662116
PB2015.12073.2,124.673848767
PB2015.5962.2,124.632044199
PB2015.6908.1,124.616122841
PB2015.9157.2,124.597800264
PB2015.13697.1,124.537421231
PB2015.13300.2,124.514643752
PB2015.9414.1,124.483905013
